long,long,long,long,long,long,long,long,long,None,None,None,None,long,None,None,long,None,None,long,None
72,61,2,0,11958,0,0,0,0,,,,,1768,,,2,,,1,
741,61,2,1,16757,16758,0,0,0,,,,,0,,,0,,,0,
66,61,2,3,11160,12518,12519,34239,34240,,,,,0,,,0,,,0,
73,61,3,1,11207,12672,15047,15052,15053,,,,,0,,,0,,,0,
67,61,3,2,11170,12982,12983,0,0,,,,,62,,,1,,,0,
63,61,3,3,11185,12487,0,0,0,,,,,0,,,0,,,0,
1769,61,4,0,34241,0,0,0,0,,,,,72,,,0,,,1,
69,61,4,1,35714,0,0,0,0,,,,,73,,,4,,,1,
1779,61,4,2,34256,34257,34258,34259,34260,,,,,0,,,0,,,0,
61,61,5,1,33919,33920,33921,33922,33923,,,,,0,,,0,,,0,
68,61,5,2,11180,28592,28593,28594,28595,,,,,0,,,0,,,0,
71,61,6,1,11426,0,0,0,0,,,,,0,,,0,,,1,
1649,61,6,2,33924,33925,0,0,0,,,,,71,,,0,,,0,
78,81,0,0,6057,6085,0,0,0,,,,,0,,,0,,,0,
76,81,0,1,11222,12839,12840,12841,12842,,,,,0,,,0,,,0,
83,81,0,2,29438,29439,29440,0,0,,,,,0,,,0,,,0,
74,81,0,3,11210,12592,0,0,0,,,,,0,,,0,,,0,
82,81,1,0,11247,12606,0,0,0,,,,,0,,,0,,,0,
1650,81,1,1,29441,29444,29445,29446,29447,,,,,0,,,0,,,0,
1760,81,1,2,29074,29075,29076,0,0,,,,,83,,,2,,,0,
85,81,2,0,33869,33870,33871,0,0,,,,,0,,,0,,,0,
75,81,2,1,11213,12574,12575,12576,12577,,,,,0,,,0,,,0,
81,81,2,2,33872,0,0,0,0,,,,,1760,,,2,,,1,
88,81,3,0,11255,12598,0,0,0,,,,,0,,,0,,,0,
421,81,3,1,15058,15059,15060,16773,16774,,,,,0,,,0,,,0,
1142,81,3,2,18462,18463,18464,0,0,,,,,0,,,0,,,0,
87,81,4,1,12042,0,0,0,0,,,,,421,,,4,,,1,
80,81,4,2,33881,33882,0,0,0,,,,,87,,,0,,,0,
77,81,4,3,11232,12500,12501,12502,12503,,,,,1142,,,2,,,0,
1761,81,5,0,33883,33884,33885,33886,33887,,,,,0,,,0,,,0,
1762,81,5,1,33888,33889,0,0,0,,,,,87,,,0,,,0,
1763,81,5,2,33890,33891,33892,33893,33894,,,,,0,,,0,,,0,
86,81,6,1,34091,0,0,0,0,,,,,0,,,0,,,1,
124,161,0,0,12282,12663,12664,34497,34498,,,,,0,,,0,,,0,
641,161,0,1,12295,12676,12677,0,0,,,,,0,,,0,,,0,
130,161,0,2,16462,16463,0,0,0,,,,,0,,,0,,,0,
126,161,1,0,12285,12697,34312,0,0,,,,,0,,,0,,,0,
131,161,1,2,12290,12963,0,0,0,,,,,130,,,1,,,0,
128,161,1,3,12287,12665,12666,0,0,,,,,0,,,0,,,0,
129,161,2,0,33393,33394,33395,0,0,,,,,0,,,0,,,0,
137,161,2,1,12296,0,0,0,0,,,,,641,,,2,,,1,
662,161,2,3,16493,16494,0,0,0,,,,,0,,,0,,,0,
121,161,3,3,12834,12849,12867,0,0,,,,,662,,,1,,,0,
132,161,3,2,35816,35817,0,0,0,,,,,0,,,0,,,0,
125,161,3,1,35801,35802,35803,35804,35805,,,,,0,,,0,,,0,
123,161,2,2,12286,12658,0,0,0,,,,,0,,,0,,,0,
133,161,4,1,12292,0,0,0,0,,,,,0,,,0,,,1,
136,161,4,2,12163,12711,12712,12713,12714,,,,,0,,,0,,,0,
122,161,4,3,33406,33407,33408,0,0,,,,,121,,,2,,,0,
134,161,5,0,33396,33397,33398,33399,33400,,,,,0,,,0,,,0,
120,161,5,2,33401,33402,33403,33404,33405,,,,,0,,,0,,,0,
135,161,6,1,12294,0,0,0,0,,,,,133,,,0,,,1,
127,161,6,2,33984,33985,0,0,0,,,,,135,,,0,,,0,
142,163,0,0,12301,12818,0,0,0,,,,,0,,,0,,,0,
140,163,0,1,12299,12761,12762,12763,12764,,,,,0,,,0,,,0,
138,163,0,2,12297,12750,12751,0,0,,,,,0,,,0,,,0,
1601,163,1,1,12298,12724,12725,12726,12727,,,,,0,,,0,,,0,
149,163,3,1,12311,12958,0,0,0,,,,,145,,,1,,,0,
147,163,1,3,12797,12799,0,0,0,,,,,0,,,0,,,0,
153,163,2,0,12975,0,0,0,0,,,,,0,,,0,,,1,
145,163,2,1,12945,12307,0,0,0,,,,,1601,,,4,,,0,
151,163,3,0,33419,33420,33421,0,0,,,,,0,,,0,,,0,
152,163,2,3,12809,0,0,0,0,,,,,0,,,0,,,1,
143,163,1,2,12302,12765,0,0,0,,,,,0,,,0,,,0,
141,163,3,3,12300,12959,12960,0,0,,,,,0,,,0,,,0,
702,163,3,2,16538,16539,16540,16541,16542,,,,,0,,,0,,,0,
144,163,2,2,12303,12788,12789,12791,12792,,,,,0,,,0,,,0,
148,163,4,0,33436,0,0,0,0,,,,,0,,,0,,,1,
146,163,4,1,33423,33424,33425,0,0,,,,,0,,,0,,,0,
150,163,4,3,12312,12803,0,0,0,,,,,0,,,0,,,0,
1602,163,5,0,33426,33427,33428,33429,33430,,,,,0,,,0,,,0,
1603,163,5,2,33431,33432,33433,33434,33435,,,,,702,,,4,,,0,
1604,163,6,1,34127,0,0,0,0,,,,,146,,,2,,,1,
170,164,0,0,33988,33989,33990,0,0,,,,,0,,,0,,,0,
158,164,0,1,12321,12835,0,0,0,,,,,0,,,0,,,0,
157,164,0,2,12320,12852,12853,12855,12856,,,,,0,,,0,,,0,
161,164,1,0,12324,12876,12877,12878,12879,,,,,0,,,0,,,0,
159,164,1,2,12322,12999,13000,13001,13002,,,,,0,,,0,,,0,
166,164,3,0,12329,12950,0,0,0,,,,,0,,,0,,,0,
160,164,2,1,12323,0,0,0,0,,,,,158,,,1,,,1,
661,164,2,2,16487,16489,16492,0,0,,,,,0,,,0,,,0,
154,164,5,3,12318,12857,0,0,0,,,,,0,,,0,,,0,
1581,164,2,0,13705,13832,13843,13844,13845,,,,,0,,,0,,,0,
1542,164,3,1,20502,20503,0,0,0,,,,,0,,,0,,,0,
155,164,3,2,12317,13045,13046,13047,13048,,,,,0,,,0,,,0,
162,164,3,3,12862,12330,20497,0,0,,,,,0,,,0,,,0,
1541,164,4,0,34012,34013,0,0,0,,,,,0,,,0,,,0,
165,164,4,1,12328,0,0,0,0,,,,,0,,,0,,,1,
1543,164,4,3,20504,20505,0,0,0,,,,,0,,,0,,,0,
156,164,5,0,12319,12971,12972,12973,12974,,,,,0,,,0,,,0,
169,164,5,2,33409,33410,33411,33412,33413,,,,,155,,,4,,,0,
167,164,6,1,23881,0,0,0,0,,,,,165,,,0,,,1,
168,164,6,2,33986,33987,0,0,0,,,,,167,,,0,,,0,
203,181,0,0,13741,13793,13792,0,0,,,,,0,,,0,,,0,
201,181,0,1,13732,13863,0,0,0,,,,,0,,,0,,,0,
186,181,0,2,13712,13788,13789,13790,13791,,,,,0,,,0,,,0,
202,181,1,0,13733,13865,13866,0,0,,,,,0,,,0,,,0,
187,181,1,1,13713,13853,0,0,0,,,,,0,,,0,,,0,
181,181,1,2,13705,13832,13843,13844,13845,,,,,0,,,0,,,0,
222,181,1,3,13743,13875,0,0,0,,,,,0,,,0,,,0,
206,181,2,0,13754,13867,0,0,0,,,,,0,,,0,,,0,
301,181,2,1,14251,0,0,0,0,,,,,187,,,1,,,1,
221,181,2,2,13715,13848,13849,13851,13852,,,,,181,,,4,,,0,
182,181,2,3,13710,13859,0,0,0,,,,,0,,,0,,,0,
183,181,3,1,33710,33711,33712,33713,33714,,,,,0,,,0,,,0,
184,181,4,0,35830,35832,0,0,0,,,,,183,,,4,,,0,
242,181,3,2,35806,35807,35808,35809,35810,,,,,0,,,0,,,0,
223,181,4,1,13877,0,0,0,0,,,,,0,,,0,,,1,
204,181,4,2,13742,13872,0,0,0,,,,,0,,,0,,,0,
1732,181,5,0,33715,33716,33717,33718,33719,,,,,0,,,0,,,0,
1703,181,5,1,30919,30920,0,0,0,,,,,223,,,0,,,0,
1122,181,5,2,18427,18428,18429,33721,33722,,,,,0,,,0,,,0,
205,181,6,1,13750,0,0,0,0,,,,,0,,,0,,,1,
276,182,0,0,14162,14163,14164,0,0,,,,,0,,,0,,,0,
272,182,0,1,14144,14148,0,0,0,,,,,0,,,0,,,0,
270,182,0,2,14138,14139,14140,14141,14142,,,,,0,,,0,,,0,
273,182,1,0,14156,14160,14161,0,0,,,,,0,,,0,,,0,
274,182,1,1,33687,33688,0,0,0,,,,,0,,,0,,,0,
277,182,1,3,14165,14166,0,0,0,,,,,0,,,0,,,0,
281,182,2,0,14179,0,0,0,0,,,,,0,,,0,,,1,
269,182,2,2,14128,14132,14135,0,0,,,,,270,,,4,,,0,
268,182,2,3,14113,14114,14115,14116,14117,,,,,0,,,0,,,0,
682,182,5,0,16513,16514,16515,16719,16720,,,,,0,,,0,,,0,
1729,182,3,1,33694,33695,0,0,0,,,,,274,,,1,,,0,
1727,182,3,2,33689,33690,33691,0,0,,,,,0,,,0,,,0,
1728,182,3,3,33692,33693,0,0,0,,,,,0,,,0,,,0,
280,182,4,1,14177,0,0,0,0,,,,,0,,,0,,,1,
279,182,4,2,14174,14175,14176,0,0,,,,,0,,,0,,,0,
1730,182,4,3,33698,33699,0,0,0,,,,,279,,,2,,,0,
283,182,3,0,14186,14190,14193,14194,14195,,,,,0,,,0,,,0,
278,182,5,1,33701,33702,0,0,0,,,,,280,,,0,,,0,
1731,182,5,2,33703,33704,33705,33706,33707,,,,,0,,,0,,,0,
382,182,6,1,14983,0,0,0,0,,,,,0,,,0,,,0,
262,183,0,0,14076,14094,14095,0,0,,,,,0,,,0,,,0,
241,183,0,1,13958,13970,0,0,0,,,,,0,,,0,,,0,
261,183,0,2,14057,14072,14073,14074,14075,,,,,0,,,0,,,0,
245,183,1,0,13976,13979,13980,0,0,,,,,0,,,0,,,0,
1700,183,1,1,30892,30893,34279,0,0,,,,,0,,,0,,,0,
1733,183,1,3,33723,33724,0,0,0,,,,,0,,,0,,,0,
246,183,2,0,13983,14070,14071,0,0,,,,,0,,,0,,,0,
244,183,2,1,13975,0,0,0,0,,,,,0,,,0,,,0,
263,183,2,2,14079,14080,14081,0,0,,,,,261,,,4,,,0,
303,183,2,3,35398,35399,35400,35401,35402,,,,,0,,,0,,,0,
1701,183,3,0,30894,30895,0,0,0,,,,,0,,,0,,,0,
247,183,3,1,13981,14066,0,0,0,,,,,0,,,0,,,0,
1123,183,3,2,14171,14172,14173,0,0,,,,,0,,,0,,,0,
284,183,4,1,33725,0,0,0,0,,,,,0,,,0,,,1,
265,183,4,2,14082,14083,34311,0,0,,,,,0,,,0,,,0,
681,183,4,3,16511,0,0,0,0,,,,,0,,,0,,,1,
1734,183,5,0,33726,33727,33728,33729,33730,,,,,0,,,0,,,0,
1702,183,5,2,30902,30903,30904,30905,30906,,,,,0,,,0,,,0,
381,183,6,1,33993,33994,33995,0,0,,,,,284,,,0,,,0,
1735,183,6,2,14185,0,0,0,0,,,,,0,,,0,,,1,
352,201,0,0,14523,14784,14785,0,0,,,,,0,,,0,,,0,
342,201,0,1,14522,14788,14789,14790,14791,,,,,0,,,0,,,0,
345,201,0,2,14524,14525,0,0,0,,,,,0,,,0,,,0,
1747,201,2,0,33800,33801,0,0,0,,,,,0,,,0,,,0,
346,201,1,2,14747,14770,14771,0,0,,,,,0,,,0,,,0,
1748,201,1,1,33802,33803,33804,0,0,,,,,0,,,0,,,0,
321,201,1,3,14531,14774,0,0,0,,,,,0,,,0,,,0,
344,201,1,0,14749,14767,0,0,0,,,,,0,,,0,,,0,
348,201,2,2,14751,0,0,0,0,,,,,346,,,2,,,1,
347,201,3,3,14521,14776,14777,0,0,,,,,0,,,0,,,0,
1749,201,2,3,14529,0,0,0,0,,,,,321,,,1,,,1,
350,201,3,0,14750,14772,0,0,0,,,,,0,,,0,,,0,
1201,201,2,1,18551,18552,18553,18554,18555,,,,,0,,,0,,,0,
341,201,3,2,14520,14780,14781,0,0,,,,,0,,,0,,,0,
343,201,4,0,14748,14768,14769,0,0,,,,,0,,,0,,,0,
351,201,4,2,33808,0,0,0,0,,,,,0,,,0,,,1,
1751,201,4,3,33817,33818,33819,0,0,,,,,0,,,0,,,0,
1750,201,5,0,33812,33813,33814,33815,33816,,,,,0,,,0,,,0,
1202,201,5,2,18544,18547,18548,18549,18550,,,,,0,,,0,,,0,
322,201,6,1,10060,0,0,0,0,,,,,1201,,,4,,,1,
410,202,0,0,14913,15012,0,0,0,,,,,0,,,0,,,0,
406,202,0,1,14908,15020,17191,0,0,,,,,0,,,0,,,0,
411,202,0,2,27900,27901,27902,27903,27904,,,,,0,,,0,,,0,
1752,202,1,0,33834,33835,0,0,0,,,,,0,,,0,,,0,
1753,202,1,1,33836,33837,0,0,0,,,,,0,,,0,,,0,
1181,202,1,2,18530,18531,18533,18534,18535,,,,,0,,,0,,,0,
1636,202,1,3,27811,27815,27816,0,0,,,,,0,,,0,,,0,
442,202,2,0,15237,0,0,0,0,,,,,0,,,0,,,1,
401,202,2,1,14889,15008,15009,15010,15011,,,,,0,,,0,,,0,
408,202,2,3,14912,15013,15014,0,0,,,,,0,,,0,,,0,
1635,202,3,0,27789,27790,0,0,0,,,,,0,,,0,,,0,
1754,202,3,1,33838,33839,0,0,0,,,,,401,,,4,,,0,
403,202,3,2,14909,15017,35394,35395,35396,,,,,1181,,,4,,,0,
402,202,3,3,14901,15028,0,0,0,,,,,0,,,0,,,0,
413,202,4,0,14911,15018,0,0,0,,,,,0,,,0,,,0,
1637,202,6,1,35754,0,0,0,0,,,,,1561,,,0,,,1,
361,202,4,2,14892,15362,15363,0,0,,,,,0,,,0,,,0,
404,202,5,0,14898,15349,15354,15355,15356,,,,,0,,,0,,,0,
1755,202,5,2,33841,33842,33843,33844,33845,,,,,0,,,0,,,0,
1561,202,4,1,20711,0,0,0,0,,,,,0,,,0,,,1,
466,203,0,0,15318,15272,15320,0,0,,,,,0,,,0,,,0,
482,203,0,1,15275,15317,0,0,0,,,,,0,,,0,,,0,
464,203,0,2,15268,15323,15324,15325,15326,,,,,0,,,0,,,0,
465,203,1,0,15270,15335,0,0,0,,,,,0,,,0,,,0,
481,203,1,1,15273,15312,15313,15314,15316,,,,,0,,,0,,,0,
463,203,1,2,15260,15327,0,0,0,,,,,0,,,0,,,0,
542,203,2,0,15392,15448,0,0,0,,,,,0,,,0,,,0,
501,203,2,1,15407,0,0,0,0,,,,,0,,,0,,,1,
881,203,2,3,33850,0,0,0,0,,,,,464,,,4,,,1,
483,203,6,1,35781,0,0,0,0,,,,,1759,,,4,,,1,
541,203,3,0,33851,33852,0,0,0,,,,,542,,,1,,,0,
1756,203,2,2,33853,33854,33855,0,0,,,,,501,,,0,,,0,
462,203,3,2,15259,15307,15308,15309,15310,,,,,0,,,0,,,0,
1757,203,4,3,33856,33857,33858,0,0,,,,,0,,,0,,,0,
484,203,4,1,15286,0,0,0,0,,,,,0,,,0,,,1,
1758,203,3,1,33861,33862,33863,35779,35780,,,,,0,,,0,,,0,
1759,203,5,1,33864,33865,33866,33867,33868,,,,,0,,,0,,,0,
1638,203,4,0,27839,27840,0,0,0,,,,,484,,,0,,,0,
461,203,5,2,15257,15331,15332,15333,15334,,,,,462,,,4,,,0,
521,203,6,2,15473,0,0,0,0,,,,,0,,,0,,,1,
1641,261,0,0,28999,29000,0,0,0,,,,,0,,,0,,,0,
1640,261,0,1,28996,28997,28998,0,0,,,,,0,,,0,,,0,
563,261,0,2,16035,16105,16106,16107,16108,,,,,0,,,0,,,0,
572,261,1,0,16043,16130,0,0,0,,,,,0,,,0,,,0,
564,261,1,1,16039,16109,16110,0,0,,,,,0,,,0,,,0,
561,261,1,2,16038,16160,16161,0,0,,,,,0,,,0,,,0,
574,261,2,1,33591,33592,33593,33594,33595,,,,,0,,,0,,,0,
1718,261,2,0,33596,0,0,0,0,,,,,572,,,1,,,1,
575,261,1,3,16040,16113,16114,16115,16116,,,,,0,,,0,,,0,
562,261,2,2,16041,16117,0,0,0,,,,,0,,,0,,,0,
1642,261,2,3,33597,33598,33599,0,0,,,,,0,,,0,,,0,
565,261,3,1,33600,33601,33602,33603,33604,,,,,0,,,0,,,0,
1645,261,3,3,30160,29179,29180,0,0,,,,,0,,,0,,,0,
567,261,4,0,16086,16544,0,0,0,,,,,0,,,0,,,0,
573,261,4,1,16166,0,0,0,0,,,,,565,,,4,,,1,
721,261,4,2,16578,16579,16580,16581,16582,,,,,562,,,1,,,0,
1720,261,5,0,33611,33612,0,0,0,,,,,0,,,0,,,0,
1780,261,5,2,34281,34282,34283,34284,34285,,,,,721,,,4,,,1,
1719,261,5,3,33605,33606,33607,33608,33609,,,,,0,,,0,,,0,
1721,261,6,1,33616,0,0,0,0,,,,,573,,,0,,,1,
583,262,0,0,16180,16196,16198,0,0,,,,,0,,,0,,,0,
594,262,0,1,16194,16218,16219,16220,16221,,,,,0,,,0,,,0,
582,262,1,2,33655,33656,0,0,0,,,,,0,,,0,,,0,
586,262,1,0,16182,16226,16227,16228,16229,,,,,0,,,0,,,0,
595,262,2,2,16173,16222,0,0,0,,,,,0,,,0,,,0,
1646,262,1,3,29187,29189,29191,0,0,,,,,0,,,0,,,0,
1723,262,2,0,33661,33662,33663,0,0,,,,,0,,,0,,,0,
1722,262,2,1,33660,0,0,0,0,,,,,594,,,4,,,1,
589,262,0,2,16184,16209,0,0,0,,,,,0,,,0,,,0,
587,262,2,3,16181,16230,16232,16233,16234,,,,,0,,,0,,,0,
1725,262,3,0,33675,33676,33677,33678,33679,,,,,0,,,0,,,0,
593,262,3,1,16179,16214,16215,16216,16217,,,,,0,,,0,,,0,
588,262,3,2,16187,16205,0,0,0,,,,,0,,,0,,,0,
581,262,4,0,16176,16235,16240,0,0,,,,,0,,,0,,,0,
592,262,4,1,16178,16210,16211,16212,16213,,,,,0,,,0,,,0,
591,262,4,2,16188,0,0,0,0,,,,,0,,,0,,,1,
1724,262,4,3,33670,33671,33672,0,0,,,,,587,,,4,,,0,
1648,262,5,0,29206,29205,29202,34287,34288,,,,,0,,,0,,,0,
1726,262,5,2,33680,33681,33682,33683,33684,,,,,0,,,0,,,0,
590,262,6,1,33686,0,0,0,0,,,,,592,,,4,,,1,
611,263,0,0,16266,29079,29080,0,0,,,,,0,,,0,,,0,
614,263,0,2,17485,17486,17487,17488,0,,,,,0,,,0,,,0,
612,263,6,1,35752,0,0,0,0,,,,,0,,,0,,,0,
609,263,1,0,16258,16293,0,0,0,,,,,0,,,0,,,0,
613,263,1,1,16255,16302,16303,16304,16305,,,,,0,,,0,,,0,
615,263,0,3,16252,16306,16307,0,0,,,,,0,,,0,,,0,
903,263,2,0,33624,33625,33626,0,0,,,,,609,,,1,,,0,
602,263,2,1,16256,16281,16282,16283,16284,,,,,613,,,4,,,0,
617,263,0,1,34599,0,0,0,0,,,,,614,,,3,,,1,
1643,263,3,2,29082,29084,29086,29087,29088,,,,,0,,,0,,,0,
1647,263,4,0,29192,29193,0,0,0,,,,,610,,,1,,,0,
616,263,3,1,33631,33632,33633,33634,33635,,,,,0,,,0,,,0,
605,263,2,3,16262,16287,0,0,0,,,,,0,,,0,,,0,
607,263,1,3,16261,16290,0,0,0,,,,,0,,,0,,,0,
610,263,3,0,16259,16295,0,0,0,,,,,0,,,0,,,0,
902,263,4,1,33630,0,0,0,0,,,,,0,,,0,,,1,
601,263,4,2,16254,16271,16272,0,0,,,,,0,,,0,,,0,
904,263,5,1,33636,33637,33638,33639,33640,,,,,0,,,0,,,0,
905,263,5,2,33642,33643,33644,33645,33646,,,,,0,,,0,,,0,
901,263,2,2,33648,0,0,0,0,,,,,614,,,3,,,1,
796,281,0,0,16934,16935,16936,16937,16938,,,,,0,,,0,,,0,
795,281,0,1,16858,16859,0,0,0,,,,,0,,,0,,,0,
794,281,0,2,16929,16930,16931,0,0,,,,,0,,,0,,,0,
1739,281,1,0,33761,33762,33763,0,0,,,,,0,,,0,,,0,
797,281,1,1,16940,16941,0,0,0,,,,,0,,,0,,,0,
798,281,1,2,16942,16943,16944,0,0,,,,,0,,,0,,,0,
801,281,1,3,16958,16961,0,0,0,,,,,798,,,2,,,0,
807,281,2,0,17002,24866,0,0,0,,,,,0,,,0,,,0,
804,281,2,1,16979,0,0,0,0,,,,,0,,,0,,,1,
800,281,2,2,16952,16954,0,0,0,,,,,798,,,2,,,0,
1740,281,2,3,33758,0,0,0,0,,,,,0,,,0,,,1,
799,281,3,0,16947,16948,16949,0,0,,,,,0,,,0,,,0,
802,281,3,1,16966,16968,0,0,0,,,,,0,,,0,,,0,
808,281,3,2,17003,17004,17005,17006,24894,,,,,0,,,0,,,0,
805,281,4,0,16998,16999,0,0,0,,,,,0,,,0,,,0,
803,281,4,1,16972,16974,16975,0,0,,,,,0,,,0,,,0,
1162,281,4,2,33764,0,0,0,0,,,,,808,,,4,,,1,
1742,281,5,1,33782,33783,33784,33785,33786,,,,,0,,,0,,,0,
1741,281,5,2,33772,33773,33774,33775,33776,,,,,0,,,0,,,0,
809,281,6,1,17007,0,0,0,0,,,,,0,,,0,,,1,
1743,282,0,0,33787,33788,33789,0,0,,,,,0,,,0,,,0,
823,282,0,1,17063,17065,17066,17067,17068,,,,,0,,,0,,,0,
822,282,0,2,17056,17058,0,0,0,,,,,0,,,0,,,0,
1744,282,0,3,16833,16834,16835,0,0,,,,,0,,,0,,,0,
824,282,1,0,17069,17070,17071,17072,17073,,,,,0,,,0,,,0,
841,282,1,1,17118,17119,17120,0,0,,,,,0,,,0,,,0,
826,282,1,2,17079,17082,0,0,0,,,,,0,,,0,,,0,
831,282,2,0,17116,0,0,0,0,,,,,824,,,4,,,1,
827,282,2,1,16864,0,0,0,0,,,,,0,,,0,,,1,
829,282,3,3,17106,17107,17108,0,0,,,,,0,,,0,,,0,
821,282,2,3,17050,17051,17053,0,0,,,,,0,,,0,,,0,
828,282,3,1,17104,24943,24944,24945,24946,,,,,0,,,0,,,0,
830,282,3,2,17111,17112,17113,0,0,,,,,0,,,0,,,0,
842,282,2,2,33996,33997,33998,0,0,,,,,0,,,0,,,0,
843,282,4,0,24968,24969,24970,24971,24972,,,,,0,,,0,,,0,
844,282,4,1,18562,0,0,0,0,,,,,0,,,0,,,1,
1745,282,4,3,33790,33791,33792,0,0,,,,,0,,,0,,,0,
1746,282,5,0,33795,33796,33797,33798,33799,,,,,0,,,0,,,0,
825,282,5,2,17074,17075,17076,17077,17078,,,,,830,,,2,,,0,
1782,282,6,1,35723,0,0,0,0,,,,,844,,,0,,,1,
762,283,0,0,16814,16815,16816,16817,16818,,,,,0,,,0,,,0,
761,283,0,1,16918,16919,16920,0,0,,,,,0,,,0,,,0,
763,283,0,2,33769,33770,0,0,0,,,,,0,,,0,,,0,
787,283,2,0,16836,16839,0,0,0,,,,,0,,,0,,,0,
791,283,1,1,16902,16903,16904,16905,16906,,,,,0,,,0,,,0,
921,283,1,2,34197,34198,34199,0,0,,,,,0,,,0,,,0,
782,283,3,0,33766,33767,33768,0,0,,,,,0,,,0,,,0,
788,283,2,2,16914,0,0,0,0,,,,,0,,,0,,,1,
784,283,2,3,16850,16923,16924,16925,16926,,,,,0,,,0,,,0,
1736,283,1,0,16819,16820,0,0,0,,,,,0,,,0,,,0,
792,283,3,1,16909,16910,16911,16912,16913,,,,,791,,,4,,,0,
781,283,3,2,33736,33737,0,0,0,,,,,0,,,0,,,0,
764,283,4,0,33738,33739,33740,0,0,,,,,0,,,0,,,0,
793,283,4,1,24858,0,0,0,0,,,,,0,,,0,,,1,
789,283,4,2,16880,0,0,0,0,,,,,0,,,0,,,0,
783,283,4,3,16845,16846,16847,0,0,,,,,0,,,0,,,0,
790,283,5,0,16896,16897,16899,16900,16901,,,,,0,,,0,,,0,
1738,283,5,2,33741,33742,33743,33744,33745,,,,,789,,,0,,,0,
1737,283,6,1,34196,0,0,0,0,,,,,793,,,0,,,1,
964,301,0,0,17917,17918,0,0,0,,,,,0,,,0,,,0,
943,301,0,1,17788,17789,17790,17791,17792,,,,,0,,,0,,,0,
982,301,0,2,18119,18120,18121,0,0,,,,,0,,,0,,,0,
941,301,1,3,17778,17779,17780,0,0,,,,,0,,,0,,,0,
981,301,1,1,18130,18131,18132,18133,18134,,,,,0,,,0,,,0,
983,301,1,2,18126,18127,0,0,0,,,,,0,,,0,,,0,
985,301,1,0,18135,18136,0,0,0,,,,,0,,,0,,,0,
967,301,2,1,33964,33965,33966,33967,33968,,,,,981,,,4,,,0,
984,301,2,2,33969,33970,0,0,0,,,,,983,,,1,,,0,
963,301,2,3,17877,0,0,0,0,,,,,0,,,0,,,1,
961,301,6,1,17815,0,0,0,0,,,,,968,,,0,,,0,
965,301,4,2,17927,17929,17930,0,0,,,,,1774,,,4,,,0,
944,301,3,1,17793,17796,17801,17802,17803,,,,,0,,,0,,,0,
986,301,4,0,18096,18073,0,0,0,,,,,985,,,1,,,0,
968,301,4,1,35737,0,0,0,0,,,,,0,,,0,,,1,
1774,301,3,2,33972,33973,33974,33975,33976,,,,,0,,,0,,,0,
1777,301,4,3,34020,0,0,0,0,,,,,0,,,0,,,1,
1775,301,5,0,33978,33979,33980,33981,33982,,,,,0,,,0,,,0,
966,301,5,2,17954,17955,17956,17957,17958,,,,,0,,,0,,,0,
1776,301,6,2,33983,0,0,0,0,,,,,0,,,0,,,1,
1001,302,0,0,17783,17784,17785,17786,17787,,,,,0,,,0,,,0,
1007,302,0,1,18182,18183,0,0,0,,,,,0,,,0,,,0,
1082,302,0,2,18310,18311,18312,0,0,,,,,0,,,0,,,0,
1121,302,1,0,17864,18393,0,0,0,,,,,0,,,0,,,0,
1005,302,1,1,18174,18175,0,0,0,,,,,0,,,0,,,0,
