long,long,long,long,long,long,flags,flags,flags,flags,flags,flags,flags,flags,flags,long,long,long,long,long,long,long,flags,long,flags,long,long,long,long,long,long,long,long,long,long,None,long,flags,long,flags,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,flags,flags,long,long,long,long,long,long,long,long,long,long,flags,None,float,float,float,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,long,long,long,flags,flags,flags,long,long,flags,long,long,long,float,None,None,long,long,long,long,long,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,flags,long,long,long,long,long,flags,long,long,long,long,long,float,float,float,long,long,long
15,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x80,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,9,0,0,6,0,0,2,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Leech (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
16,5,0,0,1,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,14,30000,0,13,0x2,0,0x0,101,0,1,0,1,8,0,56,0,0,,4,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,6,0,0,1,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,19,0,98,0,50,"Fear (NYI)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
17,1,56,0,1,19,0x50800,0x0,0x280000,0x0,0x0,0x8000000,0x0,0x0,0x0,0,0,0,1,0,0,8,0x0,0,0x0,101,0,11,6,6,9,0,45,0,0,,5,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,1,0,0,0,0x0,,0,800000011920929,0,0,43,0,0,0,0,0,57,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,127,0,0x0,0,0,0,0,,,784,0,566,0,50,"Power Word: Shield",,,,,,,,0x3F007E,"Rank 1",,,,,,,,0x3F007E,"Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.",,,,,,,,0x3F007E,"Absorbs damage.",,,,,,,,0x3F007E,0,133,1500,0,6,0x1,0,0,1,1,-1,1,1,1,0,0,0
18,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,10,0,0,1,0,0,1,0,0,0,0x0,,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,66,0,1,0,50,"Heal Self (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
19,0,0,0,0,0,0xD0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,21,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0x180,0x0,6,0,0,1,0,0,1,0,0,0,0x0,,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,138,0,50,"SWORDSPECIAL (DND)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,0,0,-1,1,1,1,0,0,0
22,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,1,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1000,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Super Food (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
24,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,10,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Major Heal Self (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
25,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,28,0,0,0,0,,2,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,1,0,0,0,0x0,,0,0,0,-1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,14,0,15,0,50,"Stun",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,0,0,-1,1,1,1,0,0,0
26,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,11,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Bind Self (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
27,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x20,0x0,0,0,0,6,0,0,0,0x0,0,0x0,101,0,1,0,1,3,0,10,0,0,,3,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,12,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,8,0,0x0,0,0,0,0,,,9,0,1,0,50,"Goldshire Portal",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
31,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,5,0,0,13,0x0,0,0x0,101,0,1,0,1,0,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,5,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,263,0,1,0,50,"Teleport Goldshire",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
33,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,5,0,0,13,0x0,0,0x0,101,0,1,0,1,0,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,5,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,263,0,1,0,50,"Teleport Westfall",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
34,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,5,0,0,13,0x0,0,0x0,101,0,1,0,1,0,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,5,0,0,0,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,263,0,1,0,50,"Teleport Duskwood",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
35,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,5,0,0,13,0x0,0,0x0,101,0,1,0,1,0,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,5,0,0,0,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,263,0,1,0,50,"Teleport Elwynn",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
43,0,0,0,0,0,0x40010,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,600000,0,0,0x0,0,0x0,101,0,0,0,1,2,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,1,0,0,0,0x0,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,1,0,0x0,0,0,0,0,,,47,0,86,0,50,"Berserk",,,,,,,,0x7F007E,"Racial",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,0,0,-1,1,1,1,0,0,0
45,0,32,0,0,12,0x40010,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,15000,0,0,0x0,0,0x0,101,0,0,45,45,0,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,0,98,0,0,37,0,0,1,0,0,0x0,,0,0,0,0,56,0,0,0,0,0,22,0,0,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0,75,0x0,0,0,0,0,,,2355,0,50,0,50,"War Stomp",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"Knocks nearby enemies back.",,,,,,,,0x3F007E,"",,,,,,,,0x3F006C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
47,0,44,0,0,0,0x10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,300000,0,0x0,0,0x0,101,0,0,0,1,1,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,1,0,0,0,0x0,,0,0,0,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,6,0,1,0,50,"Sprint (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,0,0,-1,1,1,1,0,0,0
49,4,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x100,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,10,0,0,11,0,0,1,0,0,0,0x0,,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,66,0,79,0,50,"Healing Touch (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
50,3,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,15,0x0,0,0x0,101,0,1,0,1,0,0,30,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,5,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Zone Recall (OLD)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
53,0,0,0,0,0,0x50010,0x8000200,0x100000,0x400,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,4,4,0,3,60,0,0,,2,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0x8000,0x0,121,31,80,1,1,1,1,1,1,0,0x0,,0,0,0,13,149,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,155,0,243,0,50,"Backstab",,,,,,,,0x3F007E,"Rank 1",,,,,,,,0x3F007E,"Backstab the target, causing $s2% weapon damage plus 21 to the target.  Must be behind the target.  Requires a dagger in the main hand.  Awards $s3 combo $lpoint:points;.",,,,,,,,0x3F007E,"",,,,,,,,0x3F007C,0,133,1000,0,8,0x800004,0,0,2,2,-1,1,1,1,0,0,0
56,0,32,0,0,12,0x40000,0x88,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,50,50,27,0,0,0,0,,2,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,1,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,2816,0,1460,0,50,"Stun",,,,,,,,0x3F007E,"",,,,,,,,0x7F007C,"Stuns target for $d.",,,,,,,,0x3F007E,"Stunned.",,,,,,,,0x3F007E,0,0,0,0,0,0x0,0,0,1,0,-1,1,1,1,0,0,0
58,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x80,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,5,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,2,0,0,6,0,0,3,0,0,1,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Magic Missile (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
59,0,0,0,0,0,0x12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,2,0,0,7,0x0,0,0x0,101,0,0,0,0,0,0,0,0,0,,4,0x41C80000,59,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0x4,0x0,2,0,0,10,0,0,1,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,5,0,1,0,50,"Normal bow shot (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
